               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094647,            0.033076,                   0,           0.0041702,             0.31034,           0.0029782,           0.0004211,            0.034719,            0.024714,                   0,              0.0009,              0.0009,              0.0919
                   1,            0.090705,             0.03361,                   0,            0.099745,             0.13793,            0.034634,           0.0070781,            0.024926,            0.021318,                   0,           0.0018812,           0.0018812,            0.082881
                   2,            0.067592,            0.031261,                   0,             0.31574,             0.24138,             0.26967,              0.1025,            0.018598,            0.018359,                   0,           0.0028426,           0.0028426,            0.073843
                   3,            0.064172,            0.028216,                   0,             0.40266,             0.79035,             0.53833,             0.21778,            0.016647,            0.015026,                   0,           0.0037842,           0.0037842,            0.064784
                   4,            0.053868,            0.023622,                   0,             0.60961,             0.75862,             0.68728,             0.24884,            0.020839,            0.010109,                   0,            0.004706,            0.004706,            0.055706
                   5,            0.048161,            0.022084,                   0,             0.79175,             0.41379,             0.60556,             0.25622,            0.018391,           0.0095774,                   0,           0.0056079,           0.0056079,            0.046608
                   6,            0.044584,            0.021449,                   0,             0.66617,             0.62069,             0.62092,             0.19042,            0.020372,           0.0072161,                   0,           0.0064901,           0.0064901,             0.03749
                   7,            0.051102,            0.021535,                   0,             0.49983,             0.86149,             0.60846,             0.20661,            0.021703,           0.0069285,                   0,           0.0073525,           0.0073525,            0.028353
                   8,            0.049564,            0.021295,                   0,             0.69729,             0.48276,             0.60896,             0.21457,            0.018612,           0.0082825,                   0,           0.0081951,           0.0081951,            0.019195
                   9,            0.039098,            0.021273,                   0,             0.47693,             0.41379,              0.4217,             0.14971,             0.01826,           0.0088354,                   0,           0.0090179,           0.0090179,            0.010018
                  10,            0.049002,            0.021842,                   0,             0.43229,             0.34483,              0.2912,            0.075819,            0.021241,           0.0081559,                   0,             0.00901,             0.00901,             0.00901
                  11,            0.051311,            0.023512,                   0,             0.11028,              0.1368,            0.029202,           0.0057534,            0.029566,           0.0068286,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039484,            0.019506,                   0,              0.1029,             0.10345,            0.048607,           0.0063455,            0.027382,           0.0083205,                   0,            0.008911,            0.008911,            0.008911
